speed,weight,dead,airbag,seatbelt,frontal,sex,ageOFocc,yearacc,yearVeh,abcat,occRole,deploy,injSeverity
25-39,716.7479999959,alive,none,none,1,m,24,1997,1983,unavail,driver,0,3
10-24,305.1379999965,alive,airbag,none,0,f,38,1998,1996,nodeploy,driver,0,3
10-24,412.7619999982,alive,none,belted,1,f,78,1999,1987,unavail,driver,0,2
10-24,180.7989999987,alive,none,none,0,f,16,1999,1983,unavail,pass,0,1
10-24,228.6349999998,alive,airbag,belted,0,f,77,1998,1992,deploy,driver,1,1
10-24,623.286999993,alive,none,none,1,m,28,2000,1990,unavail,driver,0,0
10-24,439.8389999978,alive,none,none,0,m,31,2000,1990,unavail,driver,0,0
40-54,6.964,alive,airbag,belted,1,m,30,1999,1998,deploy,driver,1,2
10-24,270.5939999968,alive,none,belted,1,m,20,2000,1990,unavail,pass,0,1
25-39,178.3809999991,alive,none,none,1,m,21,2001,1989,unavail,driver,0,3
10-24,21.1399999999,alive,airbag,none,1,f,39,2002,1995,deploy,driver,1,3
25-39,25.0689999999,alive,none,belted,1,f,32,1997,1988,unavail,driver,0,3
10-24,5.846,alive,airbag,belted,1,m,55,1999,1995,deploy,driver,1,3
10-24,3.409,dead,airbag,none,1,m,46,2002,2001,deploy,driver,1,4
25-39,111.3589999992,alive,airbag,none,1,f,46,2002,2000,deploy,pass,1,5
25-39,24.818,alive,airbag,none,1,m,31,1997,1996,deploy,driver,1,3
25-39,86.4609999992,alive,none,none,1,m,22,1998,1986,unavail,pass,0,3
10-24,36.1239999998,alive,airbag,belted,0,f,43,1999,1997,nodeploy,driver,0,3
55+,273.4609999992,alive,none,belted,1,m,42,1999,1987,unavail,pass,0,0
25-39,29.757,alive,airbag,belted,1,f,16,2000,1996,deploy,driver,1,1
10-24,539.9539999962,alive,airbag,belted,1,f,17,1999,1995,deploy,driver,1,0
10-24,72.3169999998,alive,airbag,belted,1,f,48,1997,1997,deploy,driver,1,3
25-39,351.5979999974,alive,airbag,belted,0,m,24,2001,1998,nodeploy,driver,0,2
25-39,306.7149999999,alive,airbag,belted,1,m,63,2000,1990,deploy,driver,1,3
10-24,198.5909999982,alive,none,none,1,m,50,2000,1991,unavail,driver,0,3
10-24,623.286999993,alive,none,none,1,m,29,2000,1990,unavail,pass,0,0
25-39,74.1749999998,alive,airbag,none,1,m,36,2002,2001,deploy,driver,1,3
10-24,449.6989999972,alive,airbag,belted,1,f,42,2001,1998,deploy,driver,1,2
1-9km/h,196.4579999987,alive,airbag,none,0,m,17,2002,1994,nodeploy,pass,0,0
10-24,1011.0419999957,alive,airbag,none,1,m,35,2000,2000,nodeploy,driver,0,0
25-39,60.2319999998,alive,none,none,1,m,76,1999,1994,unavail,driver,0,0
10-24,77.6189999999,alive,none,belted,0,f,50,1997,1984,unavail,driver,0,3
25-39,951.3549999967,alive,airbag,belted,1,f,80,2001,1996,deploy,driver,1,1
10-24,345.6139999963,alive,none,belted,1,f,38,2001,1992,unavail,pass,0,3
10-24,254.470999999,alive,airbag,belted,1,m,39,2000,1990,nodeploy,driver,0,1
10-24,996.6419999972,alive,airbag,belted,0,f,31,1998,1996,nodeploy,driver,0,0
1-9km/h,495.7919999994,alive,airbag,belted,0,f,29,2000,2000,nodeploy,driver,0,0
55+,114.3679999998,alive,none,belted,0,m,37,1998,1992,unavail,driver,0,3
10-24,2843.771999985,alive,none,none,1,f,65,1998,1991,unavail,driver,0,0
25-39,88.5399999991,dead,airbag,belted,0,f,49,1999,1993,nodeploy,pass,0,4
10-24,18.5359999998,alive,airbag,belted,1,f,22,1997,1994,deploy,driver,1,3
10-24,93.0299999993,alive,airbag,belted,0,m,16,1998,1996,nodeploy,pass,0,1
40-54,24.443,dead,airbag,none,1,m,25,2002,2000,deploy,driver,1,4
10-24,48.0199999996,alive,airbag,belted,1,m,40,2002,2002,deploy,driver,1,0
10-24,32.8239999996,alive,none,belted,1,f,29,1997,1989,unavail,driver,0,1
10-24,767.111999996,alive,none,none,0,f,32,1998,1991,unavail,pass,0,3
10-24,24.889,alive,airbag,belted,0,f,39,1998,,deploy,driver,1,2
25-39,1056.5329999924,alive,none,none,1,m,32,2002,1985,unavail,driver,0,2
55+,21.8899999999,alive,none,none,1,m,41,1999,1984,unavail,driver,0,3
10-24,43.5999999996,alive,none,belted,1,m,32,2000,1986,unavail,driver,0,3
10-24,49.4149999996,alive,none,belted,1,m,24,2000,1993,unavail,driver,0,3
10-24,53.5129999998,alive,none,belted,1,m,69,1998,1986,unavail,driver,0,3
25-39,9.8219999999,alive,none,belted,0,f,36,2002,1992,unavail,driver,0,1
10-24,130.584999999,alive,airbag,belted,1,f,45,2001,1990,deploy,driver,1,1
10-24,111.1519999998,alive,airbag,belted,1,f,31,1999,1997,nodeploy,driver,0,1
10-24,55.6769999997,alive,airbag,belted,1,m,49,1998,1996,deploy,driver,1,1
10-24,74.9739999995,alive,airbag,belted,1,f,29,2002,2002,deploy,driver,1,3
40-54,125.7489999998,alive,airbag,none,1,m,21,2001,1995,deploy,driver,1,3
25-39,255.4139999989,alive,none,none,1,m,89,2002,1983,unavail,driver,0,2
10-24,83.5,alive,none,belted,1,m,16,2002,1984,unavail,driver,0,1
40-54,51.8319999999,alive,none,belted,1,m,25,1999,1990,unavail,driver,0,3
40-54,22.7089999998,alive,airbag,none,1,f,27,2001,1999,deploy,driver,1,3
25-39,112.6229999997,alive,none,belted,0,m,19,1998,1989,unavail,driver,0,3
10-24,343.3609999977,alive,none,belted,1,f,81,2000,1992,unavail,driver,0,0
10-24,7837.8889999986,alive,airbag,belted,1,f,51,2001,1991,deploy,driver,1,0
10-24,48.0739999996,alive,airbag,belted,1,f,70,1999,1995,deploy,driver,1,1
10-24,131.6849999987,alive,airbag,belted,1,f,50,1998,1998,nodeploy,driver,0,1
25-39,48.5149999997,alive,airbag,none,0,f,43,1998,1997,deploy,pass,1,3
25-39,1105.5209999979,alive,none,belted,0,f,19,2002,1990,unavail,pass,0,0
10-24,56.892,alive,airbag,belted,0,f,69,1998,1996,nodeploy,driver,0,3
25-39,86.6239999998,alive,airbag,none,0,f,61,1998,1995,deploy,driver,1,3
10-24,0,alive,airbag,belted,1,f,84,1999,1999,deploy,pass,1,1
10-24,19.2959999999,alive,airbag,belted,1,f,36,2002,1997,deploy,pass,1,2
25-39,775.0919999927,alive,none,belted,0,m,20,1998,1988,unavail,driver,0,2
10-24,27.7419999999,alive,airbag,belted,1,f,62,1999,1995,deploy,driver,1,3
25-39,131.2069999985,alive,none,belted,1,m,30,1998,1979,unavail,pass,0,1
25-39,40.8419999997,alive,airbag,belted,1,f,24,2001,1997,deploy,driver,1,2
25-39,169.5589999985,alive,none,belted,0,f,63,1997,1987,unavail,driver,0,2
25-39,21.1649999998,alive,airbag,belted,0,f,27,2002,1998,deploy,driver,1,3
10-24,283.2339999974,alive,airbag,none,1,f,22,1999,1997,nodeploy,pass,0,1
25-39,81.8139999993,alive,airbag,belted,1,f,27,2002,2000,deploy,driver,1,3
10-24,146.6459999997,alive,none,none,1,m,20,2001,1993,unavail,driver,0,3
25-39,317.5859999992,alive,none,none,1,f,21,1997,1994,unavail,driver,0,1
25-39,190.9239999987,alive,none,belted,1,f,37,2001,1989,unavail,pass,0,3
25-39,2.198,alive,none,none,1,m,40,2000,1988,unavail,driver,0,3
10-24,1078.6269999892,alive,none,none,1,f,65,2001,1989,unavail,driver,0,0
10-24,313.8269999996,alive,airbag,belted,1,f,44,2001,1999,deploy,driver,1,1
10-24,14.115,alive,airbag,belted,1,m,39,1999,1997,deploy,driver,1,2
25-39,10.8309999999,alive,none,none,1,m,18,2000,1991,unavail,driver,0,0
40-54,388.4889999963,alive,none,none,1,m,36,1999,1971,unavail,driver,0,5
10-24,86.9859999996,alive,airbag,belted,1,m,55,1998,1999,nodeploy,driver,0,0
10-24,324.1549999975,alive,none,belted,1,m,18,1999,1988,unavail,driver,0,0
40-54,56.4199999999,alive,none,belted,1,f,58,2001,1993,unavail,pass,0,1
25-39,392.5929999985,alive,airbag,belted,1,f,35,1999,1998,deploy,driver,1,1
10-24,24.166,alive,none,none,1,f,43,1998,1988,unavail,driver,0,0
10-24,226.9039999992,alive,airbag,belted,1,m,17,1997,1996,deploy,driver,1,0
25-39,1492.3699999899,alive,none,none,1,m,31,1998,1983,unavail,driver,0,2
10-24,12.637,alive,airbag,belted,1,m,41,2002,1996,deploy,pass,1,0
40-54,46.3279999997,alive,airbag,belted,1,f,40,1999,1995,deploy,pass,1,1
10-24,262.8769999966,alive,none,none,0,f,29,1997,1985,unavail,driver,0,1
10-24,144.9959999993,alive,airbag,belted,1,f,37,1999,1999,deploy,driver,1,3
10-24,323.3849999979,alive,airbag,belted,0,f,49,2000,1997,nodeploy,driver,0,1
25-39,10.8309999999,alive,airbag,none,0,m,25,2000,1998,deploy,driver,1,3
40-54,78.1059999997,alive,airbag,belted,1,f,67,2001,1995,deploy,driver,1,3
25-39,42.6089999997,dead,none,belted,1,f,49,1999,1987,unavail,driver,0,4
25-39,126.0809999993,alive,none,none,1,m,24,1999,1990,unavail,pass,0,3
25-39,168.2979999986,alive,none,none,1,m,24,2000,1995,unavail,pass,0,3
10-24,22.8759999999,alive,none,belted,1,m,26,1997,1987,unavail,driver,0,1
25-39,137.1359999999,alive,airbag,belted,0,m,52,1999,1990,nodeploy,driver,0,1
55+,18.5019999999,alive,none,none,1,m,19,1997,1980,unavail,driver,0,2
10-24,39.5819999999,alive,airbag,belted,0,f,40,1998,1997,nodeploy,driver,0,5
25-39,38.5949999997,alive,none,belted,0,m,39,1997,1991,unavail,driver,0,1
10-24,221.1309999991,alive,airbag,belted,1,m,40,2000,2000,deploy,driver,1,0
10-24,40.4579999996,alive,none,belted,0,f,43,1999,1987,unavail,driver,0,3
10-24,272.1959999986,alive,airbag,belted,1,f,25,1999,1995,deploy,driver,1,2
55+,9.3119999999,alive,none,none,1,m,26,1997,1994,unavail,pass,0,2
40-54,124.1219999995,alive,none,belted,1,f,49,2001,1994,unavail,driver,0,3
10-24,127.9319999991,alive,airbag,belted,1,m,22,2002,1992,deploy,driver,1,0
25-39,1044.7359999865,alive,airbag,belted,1,m,44,2000,2000,deploy,driver,1,1
40-54,83.2919999994,alive,none,none,1,m,41,2001,1989,unavail,driver,0,3
10-24,19.923,alive,none,none,1,m,16,1997,1988,unavail,driver,0,0
10-24,1048.3229999989,alive,airbag,belted,0,m,68,1997,1996,deploy,driver,1,1
10-24,46.8359999997,alive,airbag,belted,1,m,18,2001,2001,deploy,pass,1,1
25-39,335.1659999974,alive,airbag,none,0,m,26,2002,2000,deploy,driver,1,2
25-39,150.5089999996,alive,airbag,belted,1,f,38,2001,1997,deploy,driver,1,3
55+,46.3359999997,alive,airbag,belted,1,m,25,1998,1993,deploy,driver,1,0
25-39,1,alive,airbag,belted,1,m,80,2002,1999,deploy,driver,1,3
40-54,12.171,alive,none,none,1,m,47,1998,1985,unavail,driver,0,3
10-24,10.3039999999,alive,airbag,belted,0,m,43,1998,1995,nodeploy,driver,0,1
40-54,9.9669999999,alive,airbag,belted,1,m,31,1997,1994,deploy,driver,1,2
10-24,179.1499999985,alive,airbag,belted,1,f,21,2001,1996,deploy,driver,1,1
10-24,156.4819999989,alive,airbag,belted,1,f,26,2002,1999,deploy,driver,1,0
10-24,14.757,alive,airbag,none,0,m,85,1999,1998,nodeploy,pass,0,3
10-24,12.8529999999,alive,airbag,none,0,m,18,2002,2000,nodeploy,driver,0,2
40-54,36.4499999997,alive,airbag,belted,0,m,21,2001,1995,deploy,pass,1,3
25-39,7.1189999999,alive,none,belted,1,m,23,1997,1976,unavail,driver,0,3
25-39,342.0399999991,alive,airbag,belted,0,f,16,1998,1998,nodeploy,driver,0,2
25-39,1534.1929999888,alive,none,belted,1,m,21,1997,1978,unavail,pass,0,2
10-24,215.2319999989,alive,airbag,belted,0,f,68,2001,1995,deploy,driver,1,2
10-24,191.8859999999,alive,none,belted,1,f,18,2002,1988,unavail,pass,0,1
10-24,177.7169999983,alive,airbag,belted,1,f,21,1998,1997,deploy,driver,1,1
25-39,48.3119999999,alive,none,belted,1,f,32,2002,1993,unavail,driver,0,1
10-24,347.7979999967,alive,airbag,none,1,m,17,1998,1993,deploy,driver,1,1
25-39,52.227,alive,airbag,belted,1,m,27,1999,1999,deploy,pass,1,0
25-39,16.4709999999,alive,airbag,belted,1,m,31,2001,1998,deploy,driver,1,2
25-39,1,alive,none,belted,1,m,36,2002,1983,unavail,driver,0,0
10-24,54.3299999996,alive,none,belted,0,m,27,1999,1988,unavail,driver,0,0
55+,18.0229999998,alive,airbag,belted,1,f,23,1999,2000,deploy,pass,1,1
10-24,2555.4579999745,alive,airbag,belted,0,f,65,1999,1998,deploy,driver,1,0
25-39,3.856,alive,none,belted,1,m,59,1998,1993,unavail,driver,0,3
40-54,86.7129999995,dead,none,none,0,m,19,2000,1994,unavail,driver,0,4
10-24,25.4889999998,alive,none,belted,1,m,31,2002,1990,unavail,driver,0,0
10-24,369.123999998,alive,none,belted,0,f,19,1998,1984,unavail,driver,0,0
10-24,598.5309999958,alive,airbag,belted,0,m,30,2000,1995,nodeploy,driver,0,1
10-24,126.2539999997,alive,none,belted,1,f,39,1999,1991,unavail,driver,0,0
10-24,104.1029999992,alive,none,belted,1,m,17,1998,1988,unavail,driver,0,2
25-39,126.0809999993,alive,none,belted,1,f,20,1999,1990,unavail,pass,0,3
10-24,459.8579999991,alive,airbag,none,1,m,32,2001,1999,nodeploy,driver,0,0
10-24,305.4849999994,alive,none,none,1,f,36,2000,1987,unavail,driver,0,3
10-24,5.932,alive,airbag,belted,1,f,52,2002,2000,deploy,driver,1,1
10-24,753.3509999961,alive,airbag,belted,1,f,28,2002,2002,deploy,driver,1,0
10-24,549.7829999998,alive,airbag,belted,1,m,47,1997,1994,nodeploy,driver,0,0
25-39,93.0449999999,alive,none,belted,1,m,19,2001,1990,unavail,driver,0,2
40-54,1440.4939999878,alive,airbag,belted,1,f,37,1999,1996,deploy,driver,1,2
55+,198.5909999982,alive,airbag,none,1,m,43,2000,2000,deploy,driver,1,3
1-9km/h,1568.7579999864,alive,airbag,belted,0,m,45,1998,1997,nodeploy,driver,0,0
40-54,193.7939999998,alive,airbag,belted,0,f,24,2002,1999,deploy,driver,1,3
25-39,6.153,alive,none,none,1,m,24,1999,1990,unavail,pass,0,3
10-24,327.6509999968,alive,none,belted,1,f,17,1999,1992,unavail,pass,0,3
10-24,211.1779999994,alive,airbag,belted,1,f,68,2001,1999,nodeploy,driver,0,2
25-39,252.993999999,alive,airbag,belted,0,m,22,1999,1996,deploy,driver,1,3
25-39,49.3539999998,alive,airbag,none,1,f,22,2001,2000,deploy,pass,1,1
25-39,2358.7079999745,alive,none,none,1,f,21,1999,1985,unavail,driver,0,1
25-39,45.4609999997,alive,none,none,0,m,24,1997,1987,unavail,driver,0,3
55+,277.7089999989,alive,none,none,1,m,40,2001,1991,unavail,pass,0,3
10-24,372.4399999976,alive,airbag,belted,1,f,36,2002,2000,deploy,pass,1,0
10-24,18.8089999999,alive,airbag,belted,1,f,28,2000,1999,deploy,driver,1,3
10-24,500.0719999969,alive,airbag,belted,1,f,22,2000,1997,deploy,pass,1,1
10-24,569.099999994,alive,airbag,belted,1,f,78,1998,1990,deploy,driver,1,0
25-39,14.95,alive,airbag,belted,0,m,76,1997,1993,nodeploy,driver,0,2
10-24,34.0729999999,alive,none,belted,1,f,54,1997,1982,unavail,driver,0,3
10-24,2784.0849999785,alive,airbag,belted,0,m,49,2002,2002,nodeploy,driver,0,0
25-39,4.974,alive,none,none,1,m,20,1998,1985,unavail,pass,0,3
25-39,1580.7679999918,alive,none,belted,1,m,46,1998,1988,unavail,driver,0,1
25-39,70.7349999994,alive,none,belted,1,f,17,2001,1989,unavail,driver,0,1
10-24,38.4589999998,alive,airbag,belted,1,f,38,1997,1994,deploy,driver,1,3
10-24,25.713,alive,none,belted,1,f,22,1999,1995,unavail,pass,0,0
25-39,86.9859999996,alive,none,none,1,m,21,1998,1992,unavail,driver,0,3
10-24,1600.8319999874,alive,airbag,belted,0,f,47,1999,1992,nodeploy,driver,0,0
10-24,8110.246999979,alive,airbag,belted,0,m,18,1998,1994,deploy,driver,1,0
40-54,42.6089999997,alive,none,belted,0,m,31,1999,1991,unavail,driver,0,1
10-24,429.180999998,alive,airbag,none,1,m,22,1998,1995,nodeploy,pass,0,1
40-54,21.4349999998,alive,airbag,none,0,m,32,2002,1999,nodeploy,driver,0,5
25-39,92.7299999995,alive,airbag,belted,0,f,22,1999,1995,deploy,pass,1,
25-39,371.9759999998,alive,airbag,belted,1,m,29,2002,2001,nodeploy,driver,0,1
10-24,20.899,alive,airbag,belted,0,f,40,2000,1999,nodeploy,driver,0,3
25-39,47.5029999996,alive,none,belted,1,m,19,1998,1990,unavail,driver,0,3
40-54,2082.6059999764,alive,none,none,0,f,40,1997,1984,unavail,driver,0,2
10-24,323.3849999979,alive,airbag,belted,1,f,69,2000,1999,deploy,driver,1,1
40-54,50.73,dead,airbag,none,0,m,17,1999,1998,deploy,pass,1,4
10-24,5.55,alive,none,belted,0,f,41,1997,1988,unavail,driver,0,1
10-24,22.0129999998,alive,airbag,belted,0,m,76,1998,1996,nodeploy,pass,0,3
10-24,4510.9589999914,alive,none,belted,0,f,32,2000,1991,unavail,driver,0,1
10-24,11.7829999999,alive,airbag,belted,1,m,40,2001,2000,nodeploy,driver,0,1
55+,36.5949999997,alive,none,none,1,f,23,1999,1987,unavail,driver,0,3
10-24,15.5349999999,alive,airbag,belted,1,m,41,1998,1995,nodeploy,driver,0,1
25-39,153.5189999994,alive,none,belted,1,f,26,2000,1986,unavail,driver,0,3
25-39,23.2629999998,alive,airbag,belted,1,m,51,2002,1999,nodeploy,driver,0,3
10-24,384.0799999982,alive,airbag,belted,0,m,81,1999,1998,nodeploy,driver,0,2
10-24,9.026,alive,airbag,none,1,m,40,2002,1995,nodeploy,driver,0,3
10-24,2107.6629999876,alive,airbag,belted,1,f,36,2001,1998,deploy,driver,1,0
25-39,24.7119999998,alive,airbag,belted,1,f,53,2002,2000,nodeploy,driver,0,3
25-39,26.2359999998,alive,airbag,none,0,f,47,2002,2001,nodeploy,pass,0,0
55+,38.1939999997,alive,none,none,0,f,38,1998,1988,unavail,driver,0,3
10-24,978.0679999962,alive,airbag,belted,1,f,43,2001,1997,deploy,driver,1,0
25-39,8.4019999999,alive,airbag,belted,0,m,34,2002,2000,nodeploy,driver,0,3
10-24,49.406,alive,airbag,none,0,m,52,1999,1993,nodeploy,driver,0,2
25-39,8.644,alive,none,belted,1,f,25,1997,1990,unavail,driver,0,3
10-24,784.4269999936,alive,airbag,belted,1,f,52,2002,1997,nodeploy,pass,0,1
40-54,25.615,alive,none,none,1,m,23,1999,1993,unavail,pass,0,3
25-39,9863.3679999113,alive,none,belted,1,m,43,2000,1983,unavail,driver,0,0
25-39,43.3699999996,alive,airbag,belted,0,f,77,2000,1996,deploy,driver,1,3
40-54,76.6529999999,alive,none,belted,1,m,29,1997,1989,unavail,driver,0,2
40-54,26.4129999999,alive,none,belted,0,f,34,,1993,unavail,pass,0,2
25-39,1,alive,airbag,none,1,m,29,2002,2000,deploy,driver,1,3
1-9km/h,605.3769999966,alive,none,belted,0,m,16,1998,1986,unavail,pass,0,0
10-24,575.612999998,alive,airbag,belted,0,f,32,1999,1995,nodeploy,driver,0,1
25-39,86.676,alive,airbag,belted,1,m,34,2000,2000,nodeploy,driver,0,0
10-24,2089.5019999743,alive,airbag,belted,0,f,17,1998,1993,nodeploy,driver,0,2
40-54,106.0369999995,alive,airbag,belted,1,f,17,2002,1997,deploy,driver,1,1
25-39,7.0539999999,alive,none,belted,0,f,26,2001,1988,unavail,driver,0,1
40-54,36.6549999998,alive,airbag,belted,1,f,41,2002,2001,deploy,driver,1,3
10-24,119.7389999991,alive,airbag,belted,1,f,17,1998,1998,nodeploy,driver,0,1
10-24,386,alive,airbag,belted,1,f,25,2001,1996,deploy,driver,1,5
25-39,158.8479999993,alive,none,belted,1,m,26,2000,1994,unavail,driver,0,2
10-24,292.8379999995,alive,airbag,belted,0,f,55,2001,1993,nodeploy,pass,0,0
10-24,148.6559999995,alive,none,belted,1,f,23,1999,1984,unavail,driver,0,0
10-24,1110.2329999954,alive,airbag,none,1,m,20,2000,1996,deploy,driver,1,2
25-39,32.6199999996,alive,none,none,1,m,17,1998,1989,unavail,pass,0,2
10-24,21.3159999999,alive,airbag,belted,0,m,25,1998,1994,nodeploy,pass,0,0
40-54,424.1159999967,alive,airbag,belted,0,f,21,2001,1999,deploy,driver,1,3
10-24,16.156,alive,airbag,belted,1,f,22,1999,1998,deploy,driver,1,2
25-39,20.8699999999,alive,airbag,belted,1,m,43,1999,1993,deploy,driver,1,3
10-24,10.845,alive,airbag,belted,1,m,80,2002,1999,deploy,driver,1,3
10-24,315.4489999972,alive,airbag,belted,0,m,48,2001,1995,nodeploy,pass,0,0
10-24,94.6489999993,alive,none,belted,1,m,29,1997,1988,unavail,driver,0,1
10-24,31.4509999999,alive,airbag,belted,1,m,31,1998,1995,deploy,driver,1,3
10-24,413.4069999978,alive,none,belted,0,m,25,1998,1983,unavail,driver,0,0
40-54,4.026,alive,airbag,belted,1,f,73,1997,1994,deploy,pass,1,3
55+,21.1399999999,alive,none,none,1,m,52,2002,1991,unavail,driver,0,3
10-24,51.8099999996,alive,airbag,belted,1,m,72,1999,1999,nodeploy,driver,0,3
10-24,222.7909999993,alive,none,belted,1,f,50,1998,1980,unavail,driver,0,3
25-39,75.0539999995,alive,airbag,belted,0,m,80,1998,1995,nodeploy,driver,0,0
40-54,30.041,alive,airbag,belted,1,f,41,2001,1994,nodeploy,driver,0,2
10-24,320.2919999994,alive,airbag,belted,1,m,65,2002,2001,deploy,driver,1,1
10-24,312.0299999975,alive,none,belted,1,f,22,2001,1978,unavail,pass,0,1
25-39,1771.8189999908,alive,airbag,belted,1,f,35,2000,1997,deploy,driver,1,2
25-39,47.5029999996,alive,airbag,belted,1,m,33,1998,1991,deploy,driver,1,1
10-24,360.4849999994,alive,airbag,belted,1,m,63,2002,1996,deploy,driver,1,1
25-39,49.1229999997,alive,none,belted,1,m,54,1998,1983,unavail,pass,0,1
40-54,9.8219999999,alive,airbag,belted,1,m,20,2002,1995,deploy,driver,1,2
1-9km/h,940.8839999959,alive,airbag,belted,0,m,17,2000,1996,nodeploy,driver,0,0
55+,269.8129999973,alive,airbag,belted,1,m,23,1998,1992,deploy,driver,1,2
55+,31.96,alive,airbag,belted,1,m,57,2001,1999,deploy,driver,1,3
25-39,107.8899999997,alive,none,belted,1,f,40,1999,1994,unavail,pass,0,2
25-39,37.71,alive,none,belted,0,f,20,1997,1991,unavail,pass,0,2
40-54,6.436,alive,airbag,belted,0,m,19,2000,1999,deploy,pass,1,2
10-24,794.1489999965,alive,airbag,belted,1,f,75,2002,1996,nodeploy,driver,0,0
10-24,18.24,alive,airbag,belted,0,m,31,1999,1993,nodeploy,driver,0,2
40-54,13.664,dead,none,belted,0,m,24,1999,1991,unavail,pass,0,4
25-39,912.2699999958,alive,none,belted,1,f,46,2000,1990,unavail,driver,0,3
25-39,446.5399999991,alive,airbag,none,0,m,31,1997,1994,deploy,driver,1,3
10-24,254.8379999995,alive,airbag,none,0,m,30,2002,1999,deploy,driver,1,3
40-54,338.6799999997,alive,none,belted,1,m,36,2000,1988,unavail,pass,0,3
25-39,86.6239999998,alive,none,belted,1,m,19,1998,1993,unavail,driver,0,1
10-24,185.0689999983,alive,none,belted,0,f,20,2000,1993,unavail,driver,0,1
10-24,24.0589999999,dead,none,none,0,m,62,1999,1988,unavail,driver,0,4
10-24,597.6509999931,alive,airbag,belted,0,f,44,2001,1998,nodeploy,driver,0,0
40-54,25.183,alive,airbag,belted,1,m,51,1998,1995,deploy,driver,1,2
25-39,49.4149999996,dead,none,none,1,m,49,2000,1978,unavail,driver,0,4
25-39,262.4079999998,alive,airbag,belted,0,m,17,2001,1995,nodeploy,driver,0,1
25-39,9.9289999999,alive,airbag,none,1,m,16,2002,1995,deploy,driver,1,0
10-24,220.527999999,alive,none,belted,0,f,63,2002,1986,unavail,pass,0,3
25-39,137.3069999982,alive,none,none,0,m,19,1998,1993,unavail,driver,0,1
10-24,134.7789999992,alive,airbag,belted,0,f,56,2000,1994,nodeploy,driver,0,3
1-9km/h,351.8789999969,alive,airbag,belted,0,f,27,1999,1997,nodeploy,driver,0,0
25-39,30.2719999999,alive,none,none,0,m,20,2000,1991,unavail,driver,0,3
25-39,46.6409999998,alive,none,belted,1,m,20,1998,1988,unavail,driver,0,3
40-54,716.2819999978,alive,airbag,none,1,m,63,1999,1994,deploy,driver,1,2
25-39,10.943,alive,none,none,1,f,45,1999,1989,unavail,pass,0,1
10-24,6793.6289999485,alive,airbag,belted,1,f,73,1999,1994,nodeploy,driver,0,2
10-24,310.2769999988,alive,airbag,belted,1,f,26,2001,1999,nodeploy,driver,0,0
25-39,79.7589999996,alive,airbag,belted,0,f,45,2002,1991,nodeploy,driver,0,3
25-39,109.9949999992,alive,none,none,1,f,26,2001,1988,unavail,driver,0,3
10-24,2110.0409999788,alive,airbag,belted,0,m,52,2002,2001,nodeploy,driver,0,0
10-24,391.3829999976,alive,none,belted,0,m,34,1997,1992,unavail,driver,0,1
10-24,109.0219999999,alive,none,none,0,m,31,1998,1984,unavail,driver,0,2
55+,18.2139999999,alive,airbag,none,0,m,36,2000,1996,deploy,driver,1,3
25-39,9.026,alive,airbag,belted,1,f,48,2002,1994,deploy,driver,1,2
10-24,957.2849999964,alive,none,belted,0,m,43,1997,1987,unavail,driver,0,0
10-24,12.3829999999,alive,airbag,belted,0,f,17,1997,1991,nodeploy,driver,0,2
10-24,231.0259999987,alive,airbag,belted,1,f,50,2000,1994,deploy,driver,1,1
25-39,4.148,alive,airbag,belted,0,f,44,2002,1999,deploy,driver,1,3
10-24,5020.273999989,alive,none,belted,0,f,20,2001,1990,unavail,pass,0,0
10-24,290.7599999979,alive,airbag,belted,1,f,32,2000,1999,deploy,driver,1,1
10-24,30.2899999998,alive,airbag,none,0,m,83,1997,1990,nodeploy,driver,0,3
25-39,2662.6259999871,alive,none,belted,1,m,31,1998,1990,unavail,driver,0,0
25-39,18.112,dead,airbag,none,0,f,75,1999,1998,deploy,driver,1,4
10-24,230.0419999994,alive,airbag,belted,1,f,42,2000,1991,deploy,driver,1,1
55+,88.7659999998,alive,none,belted,0,m,65,1998,1988,unavail,pass,0,3
10-24,1176.5819999874,alive,none,belted,0,m,16,2002,1989,unavail,pass,0,1
10-24,146.1639999989,alive,airbag,belted,1,m,19,2000,1995,nodeploy,driver,0,0
55+,11.72,dead,airbag,none,1,m,48,2002,1995,deploy,driver,1,4
25-39,98.943,alive,airbag,belted,0,m,40,1999,1997,nodeploy,driver,0,3
10-24,1851.9469999969,alive,airbag,belted,1,f,31,2001,2001,deploy,pass,1,1
10-24,127.1689999998,alive,none,belted,0,m,29,1997,1983,unavail,driver,0,0
10-24,55.8479999998,alive,none,none,1,m,39,1999,1991,unavail,pass,0,3
10-24,1402.2149999887,alive,none,belted,1,f,29,2001,1993,unavail,driver,0,0
10-24,426.9329999983,alive,none,belted,1,f,37,1998,1993,unavail,driver,0,3
10-24,1308.4939999878,alive,none,belted,1,m,45,2000,1991,unavail,pass,0,0
25-39,435.6059999987,alive,airbag,belted,1,m,27,2000,1999,deploy,driver,1,1
25-39,34.6989999996,alive,airbag,belted,1,m,66,1997,1996,deploy,driver,1,2
40-54,8.4829999999,dead,none,none,1,f,45,2000,1985,unavail,driver,0,4
10-24,1960.1389999986,alive,airbag,belted,1,m,59,2000,1998,deploy,pass,1,1
10-24,4014.5799999833,alive,none,belted,0,f,19,1998,1976,unavail,driver,0,2
