year,age,maritl,race,education,jobclass,health,health_ins,wage
2004,22,1. Never Married,1. White,3. Some College,1. Industrial,1. <=Good,2. No,80.4302079458
2006,42,2. Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,148.4131591026
2003,52,2. Married,1. White,4. College Grad,1. Industrial,2. >=Very Good,2. No,72.1504556816
2005,40,4. Divorced,1. White,2. HS Grad,2. Information,2. >=Very Good,2. No,50.4066608613
2005,54,2. Married,1. White,3. Some College,2. Information,2. >=Very Good,1. Yes,115.5180851537
2008,61,2. Married,1. White,4. College Grad,2. Information,2. >=Very Good,2. No,79.8549003093
2004,45,2. Married,1. White,3. Some College,2. Information,2. >=Very Good,1. Yes,106.9218140912
2003,40,2. Married,1. White,2. HS Grad,2. Information,1. <=Good,2. No,43.735111678
2003,36,2. Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,148.4131591026
2006,35,2. Married,1. White,2. HS Grad,2. Information,1. <=Good,1. Yes,124.7204462429
2008,39,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,276.7784133212
2004,34,2. Married,1. White,4. College Grad,2. Information,2. >=Very Good,2. No,137.5901427665
2009,44,2. Married,2. Black,2. HS Grad,2. Information,1. <=Good,1. Yes,118.8843593399
2003,47,2. Married,1. White,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,184.4694642225
2008,33,1. Never Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,2. No,114.4757132903
2006,34,2. Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,148.4131591026
2003,61,2. Married,1. White,3. Some College,2. Information,1. <=Good,1. Yes,99.6894636985
2006,32,1. Never Married,1. White,4. College Grad,2. Information,1. <=Good,1. Yes,87.9810327856
2005,42,2. Married,1. White,2. HS Grad,1. Industrial,1. <=Good,1. Yes,79.8549003093
2006,40,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,109.8339856422
2008,29,2. Married,4. Other,1. < HS Grad,2. Information,2. >=Very Good,1. Yes,73.7757432747
2003,29,2. Married,1. White,3. Some College,2. Information,2. >=Very Good,2. No,85.383940379
2004,40,2. Married,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,141.7751723332
2004,51,2. Married,1. White,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,147.11668916
2006,42,2. Married,1. White,2. HS Grad,2. Information,2. >=Very Good,2. No,91.6992261117
2008,62,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,89.2428846645
2006,53,2. Married,3. Asian,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,134.7053751189
2003,50,2. Married,1. White,2. HS Grad,1. Industrial,1. <=Good,1. Yes,101.8243520757
2008,26,1. Never Married,1. White,4. College Grad,2. Information,2. >=Very Good,2. No,99.6894636985
2005,51,2. Married,1. White,3. Some College,2. Information,2. >=Very Good,1. Yes,101.402052303
2005,52,2. Married,1. White,2. HS Grad,1. Industrial,1. <=Good,2. No,81.2832532843
2005,52,2. Married,2. Black,1. < HS Grad,2. Information,2. >=Very Good,1. Yes,122.2636738928
2005,32,1. Never Married,2. Black,3. Some College,2. Information,1. <=Good,1. Yes,47.9336713297
2007,48,2. Married,3. Asian,2. HS Grad,1. Industrial,2. >=Very Good,2. No,95.6888119067
2004,41,2. Married,1. White,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,90.4819133566
2004,52,2. Married,1. White,4. College Grad,1. Industrial,1. <=Good,1. Yes,114.4757132903
2007,23,1. Never Married,1. White,2. HS Grad,2. Information,2. >=Very Good,2. No,81.2832532843
2006,48,2. Married,1. White,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,123.0896998479
2009,26,1. Never Married,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,78.392466801
2006,36,4. Divorced,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,107.9039238669
2005,26,1. Never Married,1. White,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,91.6992261117
2007,20,1. Never Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,2. No,43.735111678
2009,49,2. Married,1. White,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,145.1436011769
2007,41,2. Married,1. White,2. HS Grad,2. Information,2. >=Very Good,1. Yes,144.4780876654
2005,43,2. Married,1. White,5. Advanced Degree,2. Information,1. <=Good,1. Yes,134.7053751189
2007,43,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,65.1108537153
2003,38,1. Never Married,2. Black,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,94.0727147457
2003,22,1. Never Married,1. White,2. HS Grad,2. Information,2. >=Very Good,1. Yes,68.3956538035
2006,28,1. Never Married,4. Other,2. HS Grad,1. Industrial,2. >=Very Good,2. No,67.1430807547
2007,32,2. Married,2. Black,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,118.8843593399
2009,45,2. Married,1. White,2. HS Grad,1. Industrial,1. <=Good,1. Yes,148.4131591026
2009,44,1. Never Married,3. Asian,4. College Grad,2. Information,2. >=Very Good,1. Yes,112.6488963421
2009,45,2. Married,1. White,4. College Grad,1. Industrial,1. <=Good,2. No,127.1157438122
2008,44,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,144.4780876654
2007,58,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,130.9821773775
2008,54,2. Married,1. White,1. < HS Grad,1. Industrial,1. <=Good,1. Yes,80.4874443595
2007,30,2. Married,1. White,3. Some College,2. Information,2. >=Very Good,2. No,131.737801155
2006,37,4. Divorced,1. White,4. College Grad,1. Industrial,1. <=Good,2. No,109.8339856422
2003,56,2. Married,1. White,2. HS Grad,2. Information,1. <=Good,1. Yes,127.1157438122
2007,47,5. Separated,2. Black,1. < HS Grad,2. Information,2. >=Very Good,2. No,82.6796372966
2006,48,2. Married,1. White,2. HS Grad,1. Industrial,1. <=Good,1. Yes,118.8843593399
2005,47,2. Married,1. White,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,87.9810327856
2003,25,1. Never Married,1. White,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,90.4819133566
2007,48,2. Married,1. White,4. College Grad,2. Information,2. >=Very Good,2. No,123.0896998479
2009,57,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,2. No,109.8339856422
2007,45,2. Married,1. White,4. College Grad,1. Industrial,1. <=Good,1. Yes,148.4131591026
2007,51,2. Married,1. White,2. HS Grad,2. Information,2. >=Very Good,1. Yes,124.7204462429
2004,35,1. Never Married,2. Black,3. Some College,1. Industrial,1. <=Good,1. Yes,131.6526986543
2007,42,4. Divorced,1. White,2. HS Grad,1. Industrial,1. <=Good,2. No,49.5553381215
2008,34,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,134.7053751189
2008,53,2. Married,1. White,3. Some College,2. Information,2. >=Very Good,2. No,179.5280921965
2005,27,1. Never Married,1. White,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,127.1157438122
2006,47,2. Married,1. White,2. HS Grad,2. Information,2. >=Very Good,1. Yes,78.392466801
2006,35,2. Married,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,114.4757132903
2007,24,1. Never Married,1. White,3. Some College,1. Industrial,1. <=Good,1. Yes,90.4819133566
2005,50,2. Married,1. White,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,182.0206209635
2006,61,2. Married,1. White,3. Some College,2. Information,1. <=Good,1. Yes,130.9821773775
2005,47,5. Separated,1. White,1. < HS Grad,1. Industrial,1. <=Good,2. No,61.187526434
2007,45,2. Married,1. White,2. HS Grad,1. Industrial,1. <=Good,2. No,130.9821773775
2006,34,5. Separated,2. Black,2. HS Grad,2. Information,2. >=Very Good,1. Yes,134.7053751189
2004,55,2. Married,1. White,4. College Grad,2. Information,1. <=Good,2. No,46.7632687977
2004,50,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,2. No,61.0524210501
2005,25,1. Never Married,2. Black,3. Some College,2. Information,2. >=Very Good,1. Yes,94.0727147457
2006,24,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,101.8243520757
2006,55,2. Married,1. White,2. HS Grad,1. Industrial,1. <=Good,1. Yes,137.5901427665
2003,42,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,2. No,89.2428846645
2008,50,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,109.8339856422
2003,38,2. Married,3. Asian,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,91.6992261117
2005,28,2. Married,1. White,4. College Grad,2. Information,1. <=Good,1. Yes,141.7751723332
2003,47,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,94.0727147457
2008,23,1. Never Married,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,61.5945831752
2007,57,2. Married,1. White,2. HS Grad,1. Industrial,1. <=Good,1. Yes,97.4932940454
2004,45,2. Married,1. White,2. HS Grad,2. Information,2. >=Very Good,2. No,87.9810327856
2004,34,2. Married,3. Asian,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,148.4131591026
2004,44,2. Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,114.4757132903
2009,31,2. Married,1. White,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,127.1157438122
2003,24,1. Never Married,1. White,2. HS Grad,1. Industrial,1. <=Good,2. No,52.4070640482
2009,50,1. Never Married,2. Black,5. Advanced Degree,2. Information,1. <=Good,1. Yes,109.8339856422
2009,32,1. Never Married,3. Asian,3. Some College,1. Industrial,2. >=Very Good,1. Yes,109.8339856422
2003,22,1. Never Married,1. White,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,78.392466801
2003,43,4. Divorced,2. Black,4. College Grad,2. Information,2. >=Very Good,1. Yes,104.9215065337
2004,40,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,131.737801155
2006,56,2. Married,2. Black,3. Some College,2. Information,2. >=Very Good,1. Yes,127.1157438122
2005,56,4. Divorced,2. Black,3. Some College,2. Information,2. >=Very Good,1. Yes,75.355679318
2005,41,2. Married,2. Black,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,130.9821773775
2004,50,2. Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,94.0727147457
2009,55,2. Married,1. White,1. < HS Grad,1. Industrial,1. <=Good,1. Yes,75.355679318
2008,39,1. Never Married,1. White,2. HS Grad,1. Industrial,1. <=Good,1. Yes,63.1888610037
2009,47,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,114.4775211325
2003,40,2. Married,2. Black,3. Some College,2. Information,1. <=Good,1. Yes,98.5993438604
2009,38,2. Married,1. White,2. HS Grad,2. Information,2. >=Very Good,1. Yes,103.9024706032
2003,48,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,163.5158639762
2005,61,2. Married,1. White,4. College Grad,1. Industrial,1. <=Good,1. Yes,136.1577108372
2003,52,2. Married,1. White,3. Some College,2. Information,2. >=Very Good,1. Yes,70.4760196469
2003,43,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,191.5736835484
2003,30,1. Never Married,1. White,3. Some College,1. Industrial,2. >=Very Good,2. No,84.045957654
2007,39,2. Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,163.5158639762
2004,51,2. Married,1. White,4. College Grad,2. Information,1. <=Good,2. No,110.7826502763
2009,45,2. Married,1. White,3. Some College,1. Industrial,2. >=Very Good,2. No,166.3249412339
2004,48,2. Married,1. White,4. College Grad,2. Information,1. <=Good,1. Yes,114.4757132903
2006,32,1. Never Married,1. White,1. < HS Grad,2. Information,2. >=Very Good,1. Yes,94.0727147457
2004,37,1. Never Married,1. White,3. Some College,2. Information,2. >=Very Good,1. Yes,109.8339856422
2006,48,2. Married,1. White,1. < HS Grad,1. Industrial,1. <=Good,2. No,81.6984217247
2006,43,2. Married,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,127.1157438122
2004,28,1. Never Married,1. White,4. College Grad,2. Information,1. <=Good,1. Yes,109.8339856422
2004,40,4. Divorced,1. White,3. Some College,1. Industrial,1. <=Good,2. No,94.0727147457
2005,52,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,176.9896504899
2009,39,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,2. No,95.230712567
2007,30,2. Married,3. Asian,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,118.8843593399
2006,20,1. Never Married,2. Black,2. HS Grad,2. Information,2. >=Very Good,1. Yes,75.0431540174
2008,28,2. Married,3. Asian,2. HS Grad,1. Industrial,2. >=Very Good,2. No,72.1504556816
2008,41,2. Married,1. White,3. Some College,2. Information,1. <=Good,1. Yes,121.4303138226
2003,62,2. Married,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,111.720849361
2008,44,1. Never Married,1. White,2. HS Grad,1. Industrial,1. <=Good,2. No,43.735111678
2005,38,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,160.6424754083
2008,36,2. Married,1. White,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,87.9823064295
2007,47,2. Married,2. Black,5. Advanced Degree,1. Industrial,2. >=Very Good,2. No,81.2832532843
2007,53,4. Divorced,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,94.0727147457
2004,57,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,104.9215065337
2006,36,2. Married,1. White,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,277.7994802057
2009,33,1. Never Married,1. White,3. Some College,1. Industrial,2. >=Very Good,2. No,79.8549003093
2009,41,2. Married,1. White,3. Some College,2. Information,2. >=Very Good,1. Yes,109.8339856422
2006,31,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,99.6894636985
2005,43,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,2. No,72.1504556816
2004,56,2. Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,138.2991269209
2003,28,1. Never Married,1. White,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,118.8843593399
2008,52,2. Married,1. White,2. HS Grad,1. Industrial,1. <=Good,1. Yes,136.8763676352
2004,37,2. Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,148.4131591026
2003,66,2. Married,1. White,2. HS Grad,1. Industrial,1. <=Good,1. Yes,92.8958447895
2005,48,2. Married,1. White,4. College Grad,2. Information,1. <=Good,1. Yes,115.3750385564
2004,32,2. Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,84.045957654
2008,53,1. Never Married,2. Black,3. Some College,2. Information,1. <=Good,1. Yes,128.2526610966
2006,35,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,2. No,75.1996281486
2003,51,2. Married,1. White,1. < HS Grad,1. Industrial,1. <=Good,1. Yes,109.8339856422
2005,35,1. Never Married,1. White,2. HS Grad,2. Information,2. >=Very Good,1. Yes,89.492479518
2006,19,1. Never Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,2. No,76.8936025176
2007,52,4. Divorced,1. White,3. Some College,2. Information,1. <=Good,1. Yes,101.8243520757
2004,42,2. Married,1. White,3. Some College,1. Industrial,1. <=Good,1. Yes,99.6894636985
2006,33,2. Married,1. White,1. < HS Grad,2. Information,1. <=Good,2. No,73.7757432747
2004,34,2. Married,4. Other,2. HS Grad,1. Industrial,1. <=Good,1. Yes,65.1108537153
2004,53,2. Married,1. White,4. College Grad,2. Information,1. <=Good,1. Yes,136.8763676352
2005,45,1. Never Married,1. White,4. College Grad,2. Information,1. <=Good,1. Yes,82.6796372966
2007,23,1. Never Married,1. White,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,87.9810327856
2003,26,1. Never Married,2. Black,3. Some College,1. Industrial,2. >=Very Good,2. No,118.8843593399
2005,37,1. Never Married,3. Asian,4. College Grad,2. Information,1. <=Good,1. Yes,109.8339856422
2005,25,2. Married,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,91.6992261117
2005,28,2. Married,1. White,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,61.187526434
2006,56,2. Married,1. White,3. Some College,2. Information,2. >=Very Good,1. Yes,99.6894636985
2008,47,2. Married,3. Asian,4. College Grad,1. Industrial,1. <=Good,2. No,87.9810327856
2004,52,2. Married,1. White,4. College Grad,2. Information,1. <=Good,2. No,46.7632687977
2008,28,4. Divorced,4. Other,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,76.8936025176
2004,40,2. Married,1. White,3. Some College,2. Information,2. >=Very Good,1. Yes,89.2428846645
2005,48,2. Married,2. Black,3. Some College,1. Industrial,2. >=Very Good,2. No,87.7884362155
2005,23,1. Never Married,1. White,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,65.1108537153
2004,53,1. Never Married,2. Black,2. HS Grad,1. Industrial,1. <=Good,1. Yes,80.5731997057
2007,43,2. Married,1. White,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,82.6796372966
2003,65,2. Married,1. White,1. < HS Grad,1. Industrial,1. <=Good,2. No,73.7757432747
2005,32,2. Married,1. White,3. Some College,2. Information,2. >=Very Good,1. Yes,134.7053751189
2005,59,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,104.9215065337
2003,52,2. Married,1. White,1. < HS Grad,2. Information,1. <=Good,2. No,47.7477845119
2007,45,2. Married,1. White,2. HS Grad,2. Information,1. <=Good,1. Yes,73.7757432747
2003,45,2. Married,1. White,4. College Grad,1. Industrial,1. <=Good,1. Yes,155.9005061468
2006,51,2. Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,277.7994802057
2009,40,1. Never Married,1. White,4. College Grad,1. Industrial,1. <=Good,1. Yes,163.5158639762
2005,23,1. Never Married,1. White,2. HS Grad,1. Industrial,1. <=Good,2. No,90.4819133566
2009,28,1. Never Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,2. No,111.720849361
2008,36,2. Married,1. White,3. Some College,1. Industrial,1. <=Good,2. No,97.1582750437
2005,40,2. Married,1. White,2. HS Grad,1. Industrial,1. <=Good,1. Yes,141.7751723332
2008,43,1. Never Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,99.6894636985
2005,35,2. Married,2. Black,4. College Grad,2. Information,2. >=Very Good,1. Yes,99.6894636985
2006,33,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,122.2636738928
2006,26,1. Never Married,1. White,3. Some College,2. Information,2. >=Very Good,1. Yes,117.1468169148
2005,51,2. Married,1. White,4. College Grad,1. Industrial,1. <=Good,2. No,127.1157438122
2009,49,1. Never Married,1. White,3. Some College,2. Information,1. <=Good,2. No,82.7417541674
2003,44,2. Married,1. White,5. Advanced Degree,2. Information,1. <=Good,1. Yes,182.0206209635
2008,29,2. Married,1. White,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,99.6894636985
2009,26,1. Never Married,1. White,2. HS Grad,1. Industrial,1. <=Good,2. No,97.4932940454
2005,52,2. Married,1. White,2. HS Grad,2. Information,1. <=Good,2. No,100.7642728421
2004,29,2. Married,1. White,3. Some College,1. Industrial,2. >=Very Good,2. No,79.8549003093
2005,48,2. Married,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,160.6424754083
2004,37,1. Never Married,1. White,4. College Grad,2. Information,2. >=Very Good,2. No,84.718389703
2008,48,2. Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,123.0896998479
2003,46,2. Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,134.7053751189
2006,45,4. Divorced,1. White,3. Some College,1. Industrial,2. >=Very Good,2. No,109.8339856422
2006,44,1. Never Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,277.7994802057
2008,24,1. Never Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,2. No,66.2330957333
2006,32,2. Married,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,118.8843593399
2004,40,1. Never Married,2. Black,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,91.6992261117
2005,51,2. Married,2. Black,2. HS Grad,1. Industrial,1. <=Good,1. Yes,78.2145756932
2006,58,4. Divorced,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,149.6950420685
2007,25,1. Never Married,4. Other,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,92.8958447895
2007,38,2. Married,1. White,1. < HS Grad,1. Industrial,1. <=Good,2. No,97.4932940454
2007,26,2. Married,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,93.486692043
2007,34,2. Married,1. White,1. < HS Grad,2. Information,2. >=Very Good,2. No,72.1504556816
2009,28,2. Married,1. White,2. HS Grad,2. Information,1. <=Good,1. Yes,113.5670895698
2003,41,2. Married,1. White,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,89.2428846645
2008,44,2. Married,1. White,4. College Grad,1. Industrial,1. <=Good,1. Yes,76.4058510655
2003,50,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,81.2832532843
2009,43,5. Separated,1. White,1. < HS Grad,2. Information,1. <=Good,2. No,86.6951548289
2008,31,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,99.6894636985
2004,32,2. Married,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,115.1062016913
2005,19,1. Never Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,2. No,70.4760196469
2004,53,2. Married,1. White,3. Some College,2. Information,2. >=Very Good,1. Yes,115.3750385564
2004,34,4. Divorced,1. White,2. HS Grad,1. Industrial,2. >=Very Good,2. No,90.4819133566
2007,46,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,281.7459705519
2009,34,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,81.2832532843
2004,46,1. Never Married,1. White,2. HS Grad,2. Information,2. >=Very Good,2. No,87.9810327856
2006,36,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,2. No,200.5432623247
2007,53,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,281.7459705519
2009,27,1. Never Married,1. White,4. College Grad,2. Information,2. >=Very Good,2. No,81.2832532843
2007,37,2. Married,2. Black,2. HS Grad,2. Information,2. >=Very Good,1. Yes,70.8150386168
2004,22,1. Never Married,1. White,4. College Grad,1. Industrial,1. <=Good,2. No,66.0446942318
2003,29,2. Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,125.5254984338
2009,32,1. Never Married,1. White,3. Some College,2. Information,1. <=Good,1. Yes,114.4757132903
2008,41,2. Married,2. Black,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,123.0896998479
2006,45,2. Married,3. Asian,3. Some College,1. Industrial,2. >=Very Good,1. Yes,130.9821773775
2007,42,2. Married,1. White,4. College Grad,2. Information,2. >=Very Good,2. No,160.6424754083
2004,20,1. Never Married,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,82.6796372966
2008,48,1. Never Married,1. White,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,200.5432623247
2004,43,2. Married,1. White,1. < HS Grad,1. Industrial,1. <=Good,1. Yes,90.4819133566
2004,40,2. Married,1. White,1. < HS Grad,1. Industrial,1. <=Good,1. Yes,82.6796372966
2008,46,2. Married,1. White,4. College Grad,1. Industrial,1. <=Good,2. No,160.6424754083
2004,40,2. Married,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,120.5894365304
2006,50,2. Married,1. White,4. College Grad,1. Industrial,2. >=Very Good,2. No,78.392466801
2006,60,2. Married,2. Black,2. HS Grad,1. Industrial,1. <=Good,2. No,120.9267015444
2003,49,2. Married,1. White,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,128.6804882206
2003,48,4. Divorced,1. White,2. HS Grad,1. Industrial,1. <=Good,2. No,23.952944479
2004,35,2. Married,3. Asian,4. College Grad,2. Information,2. >=Very Good,2. No,160.6354985969
2006,25,2. Married,1. White,3. Some College,2. Information,2. >=Very Good,1. Yes,94.0727147457
2008,29,2. Married,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,182.0206209635
2008,57,2. Married,1. White,2. HS Grad,2. Information,2. >=Very Good,2. No,82.6823993373
2006,23,1. Never Married,1. White,3. Some College,1. Industrial,2. >=Very Good,2. No,68.1119940653
2005,77,2. Married,1. White,2. HS Grad,2. Information,2. >=Very Good,1. Yes,99.6894636985
2007,57,2. Married,3. Asian,5. Advanced Degree,2. Information,1. <=Good,1. Yes,160.4097019623
2005,48,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,277.601417511
2004,41,2. Married,1. White,4. College Grad,2. Information,1. <=Good,1. Yes,127.9012329791
2005,38,2. Married,1. White,3. Some College,2. Information,2. >=Very Good,1. Yes,99.6894636985
2005,43,1. Never Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,100.7642728421
2008,47,4. Divorced,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,107.9039238669
2009,18,1. Never Married,1. White,1. < HS Grad,1. Industrial,1. <=Good,2. No,49.5553381215
2006,28,1. Never Married,1. White,3. Some College,2. Information,2. >=Very Good,1. Yes,104.9215065337
2009,44,2. Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,176.9896504899
2009,63,2. Married,1. White,5. Advanced Degree,2. Information,1. <=Good,2. No,267.9010868553
2007,57,2. Married,1. White,4. College Grad,2. Information,1. <=Good,1. Yes,125.5254984338
2003,63,4. Divorced,2. Black,3. Some College,1. Industrial,1. <=Good,1. Yes,64.2743972206
2008,51,2. Married,1. White,2. HS Grad,2. Information,2. >=Very Good,1. Yes,101.402052303
2004,51,2. Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,88.8315691738
2003,65,2. Married,4. Other,2. HS Grad,1. Industrial,2. >=Very Good,2. No,71.3196387942
2009,22,2. Married,1. White,3. Some College,1. Industrial,2. >=Very Good,2. No,32.3664131749
2006,25,1. Never Married,1. White,3. Some College,2. Information,2. >=Very Good,1. Yes,99.6894636985
2004,35,2. Married,3. Asian,2. HS Grad,1. Industrial,2. >=Very Good,2. No,65.1108537153
2004,28,2. Married,3. Asian,4. College Grad,1. Industrial,2. >=Very Good,2. No,34.6074177301
2003,34,1. Never Married,1. White,2. HS Grad,1. Industrial,1. <=Good,2. No,81.2860772898
2009,31,1. Never Married,2. Black,3. Some College,1. Industrial,2. >=Very Good,1. Yes,82.6796372966
2004,40,2. Married,1. White,3. Some College,2. Information,2. >=Very Good,1. Yes,87.9810327856
2003,25,1. Never Married,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,99.6894636985
2004,23,1. Never Married,1. White,1. < HS Grad,1. Industrial,1. <=Good,2. No,72.1504556816
2005,35,2. Married,1. White,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,70.8150386168
2009,30,1. Never Married,2. Black,3. Some College,1. Industrial,2. >=Very Good,2. No,94.0727147457
2007,54,2. Married,2. Black,3. Some College,1. Industrial,2. >=Very Good,1. Yes,101.8243520757
2004,35,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,137.5901427665
2004,43,1. Never Married,1. White,1. < HS Grad,1. Industrial,1. <=Good,2. No,45.282169994
2005,23,1. Never Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,2. No,54.5981500331
2003,45,2. Married,1. White,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,160.6424754083
